Input Size (N),BST Time (ms),AVL Time (ms)
100,0.0,0.0
500,0.0,1.9984245300292969
1000,1.0068416595458984,5.035161972045898
2000,2.004384994506836,9.752273559570312
5000,6.000041961669922,26.168346405029297
10000,12.000083923339844,57.99579620361328
