Input Size (N),BST Time (ms),AVL Time (ms)
100,0.0,0.0
500,11.997461318969727,0.9989738464355469
1000,54.38804626464844,5.0048828125
2000,229.90775108337402,10.456085205078125
5000,,28.64861488342285
10000,,65.99712371826172
