Input Size (N),BST Time (ms),AVL Time (ms)
100,0.0,1.1188983917236328
500,22.891521453857422,2.0155906677246094
1000,117.48647689819336,8.001327514648438
2000,232.40065574645996,9.999275207519531
5000,,28.99956703186035
10000,,85.00242233276367
